PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/1/29,1,1,小松,Right,井櫻,Left,0,0,0,Fastball,BallCalled,,141,0
2,2026/1/29,1,2,小松,Right,井櫻,Left,0,1,0,Fastball,BallCalled,,141,0
3,2026/1/29,1,3,小松,Right,井櫻,Left,0,2,0,Slider,BallCalled,,126,0
4,2026/1/29,1,4,小松,Right,井櫻,Left,0,3,0,Slider,StrikeCalled,,130,0
5,2026/1/29,1,5,小松,Right,井櫻,Left,0,3,1,Slider,BallCalled,,131,0
6,2026/1/29,1,1,小松,Right,金子,Right,0,0,1,Fastball,BallCalled,,141,1
7,2026/1/29,1,2,小松,Right,金子,Right,0,1,1,Fastball,StrikeCalled,,143,1
8,2026/1/29,1,3,小松,Right,金子,Right,0,1,2,Fastball,InPlay,Out,141,1
9,2026/1/29,2,1,小松,Right,三戸,Left,1,0,0,Fastball,StrikeCalled,,143,1
10,2026/1/29,2,2,小松,Right,三戸,Left,1,0,1,Fastball,StrikeCalled,,143,1
11,2026/1/29,2,3,小松,Right,三戸,Left,1,0,2,Splitter,BallCalled,,129,1
12,2026/1/29,2,4,小松,Right,三戸,Left,1,1,2,Fastball,BallCalled,,143,2
13,2026/1/29,2,5,小松,Right,三戸,Left,1,2,2,Fastball,FoulBallFieldable,,144,2
14,2026/1/29,2,6,小松,Right,三戸,Left,1,2,2,Slider,FoulBallFieldable,,130,2
15,2026/1/29,2,7,小松,Right,三戸,Left,1,2,2,Fastball,BallCalled,,141,2
16,2026/1/29,2,8,小松,Right,三戸,Left,1,3,2,Slider,InPlay,Out,132,2
17,2026/1/29,3,1,小松,Right,大越,Right,2,0,0,Slider,BallCalled,,130,2
18,2026/1/29,3,2,小松,Right,大越,Right,2,1,0,Fastball,InPlay,Single,141,2
19,2026/1/29,4,1,小松,Right,黒須,Left,2,0,0,Slider,BallCalled,,127,2
20,2026/1/29,4,2,小松,Right,黒須,Left,2,1,0,Fastball,StrikeSwinging,,142,2
21,2026/1/29,4,3,小松,Right,黒須,Left,2,1,1,Slider,StrikeSwinging,,128,2
22,2026/1/29,4,4,小松,Right,黒須,Left,2,1,2,Slider,BallCalled,,128,2
23,2026/1/29,4,5,小松,Right,黒須,Left,2,2,2,Fastball,BallCalled,,141,2
24,2026/1/29,4,6,小松,Right,黒須,Left,2,3,2,Fastball,FoulBallFieldable,,141,2
25,2026/1/29,4,7,小松,Right,黒須,Left,2,3,2,Fastball,FoulBallFieldable,,143,2
26,2026/1/29,4,8,小松,Right,黒須,Left,2,3,2,Fastball,BallCalled,,143,2
27,2026/1/29,4,1,小松,Right,小室,Right,2,0,2,Slider,StrikeCalled,,127,1.2
28,2026/1/29,4,2,小松,Right,小室,Right,2,0,2,Fastball,FoulBallFieldable,,143,1.2
29,2026/1/29,4,3,小松,Right,小室,Right,2,0,2,Slider,InPlay,Single,134,1.2
30,2026/1/29,1,1,小松,Right,大平,Right,0,0,0,Fastball,BallCalled,,142,0
31,2026/1/29,1,2,小松,Right,大平,Right,0,1,0,Slider,StrikeCalled,,131,0
32,2026/1/29,1,3,小松,Right,大平,Right,0,1,1,Fastball,FoulBallFieldable,,142,0
33,2026/1/29,1,4,小松,Right,大平,Right,0,1,2,Fastball,BallCalled,,141,0
34,2026/1/29,1,5,小松,Right,大平,Right,0,2,2,Slider,InPlay,Error,132,0
35,2026/1/29,2,1,小松,Right,岩﨑遼,Right,0,0,0,Fastball,InPlay,Single,139,1
36,2026/1/29,3,1,小松,Right,中村吏,Right,0,0,0,Fastball,BallCalled,,141,3
37,2026/1/29,3,2,小松,Right,中村吏,Right,0,1,0,Fastball,InPlay,Out,137,3
38,2026/1/29,4,1,小松,Right,黒須,Left,0,0,0,Splitter,StrikeCalled,,128,0
39,2026/1/29,4,2,小松,Right,黒須,Left,0,0,1,Splitter,StrikeCalled,,128,0
40,2026/1/29,4,3,小松,Right,黒須,Left,0,0,2,Fastball,FoulBallFieldable,,142,0
41,2026/1/29,4,4,小松,Right,黒須,Left,0,0,2,Slider,BallCalled,,131,0
42,2026/1/29,4,5,小松,Right,黒須,Left,0,1,2,Fastball,FoulBallFieldable,,141,0
43,2026/1/29,4,6,小松,Right,黒須,Left,0,1,2,Fastball,FoulBallFieldable,,139,0
44,2026/1/29,4,7,小松,Right,黒須,Left,0,1,2,Fastball,FoulBallFieldable,,142,0
45,2026/1/29,4,8,小松,Right,黒須,Left,0,1,2,Fastball,InPlay,Out,140,0
1,2026/1/29,1,1,宮城,Left,壽田,Left,0,0,0,Fastball,InPlay,Out,136,0
2,2026/1/29,2,1,宮城,Left,大内,Left,1,0,0,Fastball,BallCalled,,137,0
3,2026/1/29,2,2,宮城,Left,大内,Left,1,1,0,Fastball,StrikeCalled,,138,0
4,2026/1/29,2,3,宮城,Left,大内,Left,1,1,1,Fastball,FoulBallFieldable,,135,0
5,2026/1/29,2,4,宮城,Left,大内,Left,1,1,2,Splitter,BallCalled,,130,0
6,2026/1/29,2,5,宮城,Left,大内,Left,1,2,2,Fastball,FoulBallFieldable,,137,0
7,2026/1/29,2,6,宮城,Left,大内,Left,1,2,2,TwoSeamFastball,InPlay,Out,131,0
8,2026/1/29,3,1,宮城,Left,岡西,Left,2,0,0,Fastball,BallCalled,,138,0
9,2026/1/29,3,2,宮城,Left,岡西,Left,2,1,0,Fastball,StrikeCalled,,137,0
10,2026/1/29,3,3,宮城,Left,岡西,Left,2,1,1,Fastball,BallCalled,,138,0
11,2026/1/29,3,4,宮城,Left,岡西,Left,2,2,1,Fastball,InPlay,Out,138,0
12,2026/1/29,1,1,宮城,Left,寺尾,Right,0,0,0,Fastball,BallCalled,,136,0
13,2026/1/29,1,2,宮城,Left,寺尾,Right,0,1,0,Fastball,StrikeCalled,,137,0
14,2026/1/29,1,3,宮城,Left,寺尾,Right,0,1,1,TwoSeamFastball,BallCalled,,129,0
15,2026/1/29,1,4,宮城,Left,寺尾,Right,0,2,1,Splitter,InPlay,Out,127,0
